Data;Evento;Posizione;Compagnia
03/04/1994;Morte di Frank Wells (Direttore della Disney);4;Disney
03/04/1994;Eisner si autoproclama direttore della Disney;-4;Disney
24/08/1994;Eisner licenzia Katzenberg;2;Disney
12/10/1994;Fondazione Dreamworks;-2;DreamWorks
02/10/1998;Uscita Z la formica;4;DreamWorks
13/11/1998;Uscita A Bug's life;-2;Disney
15/12/1998;Uscita Il Principe d'Egitto;2;DreamWorks
31/03/2000;Uscita the Road to El Dorado;-6;DreamWorks
10/12/2000;Uscita Le Follie dell'Imperatore;6;Disney
18/05/2001;Uscita Shrek;-2;DreamWorks
24/03/2002;Oscar per Shrek;4;DreamWorks
24/03/2002;Primo oscar nella storia per miglior film d'animazione;-4;DreamWorks
