Compagnia;Anno;Fatturato (MUSD)
Disney;2000;25300
Disney;2001;27122
Disney;2002;28022
Disney;2003;30855
Disney;2004;32463
Disney;2005;33745
Disney;2006;34292
Disney;2007;37843
Disney;2008;37843
Disney;2009;36149
Disney;2010;38063
Disney;2011;40893
Disney;2012;42278
Disney;2013;45041
Disney;2014;48813
Disney;2015;52465
Disney;2016;55632
Disney;2017;55137
Disney;2018;59434
Disney;2019;69607
Disney;2020;65388
Disney;2021;67418
Disney;2022;82722
Disney;2023;88898
Disney;2024;91361
Comcast;2019;108942
Comcast;2020;103564
Comcast;2021;116385
Comcast;2022;121427
Comcast;2023;121572
Comcast;2024;123424
WDB;2019;11144
WDB;2020;10671
WDB;2021;12191
WDB;2022;33817
WDB;2023;41321
WDB;2024;39521
Netflix;2019;20156
Netflix;2020;24996
Netflix;2021;29698
Netflix;2022;31616
Netflix;2023;33723
Netflix;2024;30001
Paramount;2019;27812
Paramount;2020;25285
Paramount;2021;28586
Paramount;2022;30154
Paramount;2023;29652
Paramount;2024;29310
