Titolo;Anno;Incasso ($);Franchise;Ambientazione;Tipo;Tomatometer (%);Popcornmeter (%);Classico
Avengers: Endgame;2019;2748242781;Marvel;United States of America;Live Action;94;90;No
Star Wars Ep. VII: The Force Awakens;2015;2056046835;LucasFilm;Null;Live Action;93;84;No
Avengers: Infinity War;2018;2048359754;Marvel;United Kingdom;Live Action;85;92;No
Spider-Man: No Way Home;2021;1922624170;Marvel;United States of America;Live Action;93;97;No
Inside Out 2;2024;1698863816;Pixar;Null;Animation;91;95;No
The Lion King;2019;1661454403;Disney;Kenya;Live Action;51;88;No
The Avengers;2012;1515100211;Marvel;United States of America;Live Action;91;91;No
Frozen II;2019;1451653316;Disney;Norway;Animation;77;92;Yes
Avengers: Age of Ultron;2015;1395316979;Marvel;United States of America;Live Action;76;82;No
Deadpool & Wolverine;2024;1338071348;Marvel;Canada;Live Action;78;94;No
Black Panter;2018;1334157082;Marvel;South Korea;Live Action;96;79;No
Star Wars Ep. VIII: The Last Jedi;2017;1322581071;LucasFilm;Null;Live Action;91;41;No
Frozen;2013;1271023300;Disney;Norway;Animation;89;85;Yes
Beauty and the Beast;2017;1268697483;Disney;France;Live Action;71;80;No
Incredibles 2;2018;1242805359;Pixar;United States of America;Animation;93;84;No
Iron Man 3;2013;1214630956;Marvel;United States of America;Live Action;79;78;No
Capitan America: Civil War;2016;1151899586;Marvel;Germany;Live Action;90;89;No
Spider-Man: Far From Home;2019;1132705055;Marvel;Italy;Live Action;91;95;No
Capitan Marvel;2019;1129576094;Marvel;United States of America;Live Action;79;45;No
Toy Story 4;2019;1071177215;Pixar;United States of America;Animation;97;94;No
Star Wars: The Rise of Skywalker;2019;1069051814;LucasFilm;Null;Live Action;51;86;No
Toy Story 3;2010;1068879522;Pixar;United States of America;Animation;98;90;No
Pirates of the Carabbean: Dead Man's Chest;2006;1066179725;Disney;Caribbean;Live Action;53;72;No
Rogue One: A Star Wars Story;2016;1055083596;LucasFilm;Null;Live Action;84;87;No
Aladdin;2019;1046587513;Disney;India;Live Action;57;94;No
Pirates of the Caribbean: On Stranger Tides;2011;1045713802;Disney;Caribbean;Live Action;32;54;No
Moana 2;2024;1036794948;Disney;Null;Animation;61;86;Yes
Alice in Wonderland;2010;1025491110;Disney;United Kingdom;Live Action;50;55;No
Zootopia;2016;1025485003;Disney;Null;Animation;98;92;Yes
Finding Dory;2016;1025006125;Pixar;United States of America;Animation;94;84;No
The Lion King;1994;988389726;Disney;Kenya;Animation;93;93;Yes
Pirates of the Caribbean: At World's End;2007;960996492;Disney;Caribbean;Live Action;43;72;No
Doctor Strange in the Multiverse of Madness;2022;952224986;Marvel;United States of America;Live Action;74;85;No
The Jungle Book;2016;951806722;Disney;India;Live Action;94;86;No
Finding Nemo;2003;936094852;Pixar;Null;Animation;99;86;No
Spider-Man: Homecoming;2017;880166924;Marvel;United States of America;Live Action;92;87;No
Guardians of the Galaxy Vol 2;2017;869087963;Marvel;Null;Live Action;85;87;No
Black Panther: Wakanda Forever;2022;853985546;Marvel;Mexico;Live Action;84;94;No
Thor: Ragnarok;2017;850482778;Marvel;Null;Live Action;93;87;No
Inside Out;2015;850309035;Pixar;United States of America;Animation;98;89;No
Guardians of the Galaxy Vol 3;2023;845163792;Marvel;Null;Live Action;82;94;No
Coco;2017;796397165;Pixar;Mexico;Animation;97;94;No
Pirates of the Caribbean: Dead Men Tell No Tales;2017;794861794;Disney;Caribbean;Live Action;30;60;No
Guardians of the Galaxy;2014;770882395;Marvel;Null;Live Action;92;92;No
Thor: Love and Thunder;2022;760928081;Marvel;United States of America;Live Action;63;76;No
Maleficent;2014;758536735;Disney;United Kingdom;Live Action;54;70;No
Monsters University;2013;743455810;Pixar;United States of America;Animation;80;81;No
Up;2009;731463377;Pixar;Venezuela;Animation;98;90;No
The Chronicles of Narnia: The Lion, the Witch a…;2005;720539572;Disney;Null;Live Action;75;61;No
Captain America: The Winter Soldier;2014;714401889;Marvel;United States of America;Live Action;90;92;No
Moana;2016;684654985;Disney;France;Animation;95;89;Yes
Doctor Strange;2016;676343174;Marvel;Nepal;Live Action;89;86;No
Pirates of the Caribbean: The Curse of the Black Pearl;2003;654310819;Disney;Caribbean;Live Action;79;86;No
Mufasa: The Lion King;2024;653010210;Disney;Kenya;Live Action;58;89;No
Big Hero 6;2014;647263005;Disney;Japan;Animation;90;91;Yes
Thor: The Dark World;2013;644602516;Marvel;United Kingdom;Live Action;67;75;No
The Incredibles;2004;631441092;Pixar;United States of America;Animation;97;75;No
Ratatouille;2007;626549695;Pixar;France;Animation;96;87;No
Iron Man 2;2010;623933331;Marvel;United States of America;Live Action;72;71;No
Ant-Man and the Wasp;2018;623144660;Marvel;Mexico;Live Action;46;81;No
Iron Man;2008;585796247;Marvel;United States of America;Live Action;94;91;No
Tangled;2010;582440151;Disney;Germany;Animation;89;87;Yes
The Little Mermaid;2023;569626289;Disney;Null;Live Action;67;94;No
Monsters, Inc.;2001;560483719;Pixar;Null;Animation;96;90;No
Cars 2;2011;560155383;Pixar;Japan;Animation;39;49;No
Brave;2012;554606532;Pixar;United Kingdom;Animation;78;75;No
Cinderella;2015;542351353;Disney;Null;Live Action;84;78;No
WALL-E;2008;532508025;Pixar;Null;Animation;95;90;No
Ralph Breaks The Internet;2018;529290830;Disney;Null;Animation;88;64;Yes
Ant-Man;2015;518858449;Marvel;United States of America;Live Action;83;85;No
Toy Story 2;1999;511358276;Pixar;United States of America;Animation;100;87;No
Aladdin;1992;504050219;Disney;India;Animation;96;92;Yes
Wreck-It Ralph;2012;496511521;Disney;United States of America;Animation;87;86;Yes
Oz the Great and Powerful;2013;490359051;Disney;Null;Live Action;56;56;No
Maleficent: Mistress of Evil;2019;489181357;Disney;Null;Live Action;40;95;No
Elemental;2023;484829737;Pixar;United States of America;Animation;73;93;No
Ant-Man and the Wasp: Quantumania;2023;463635303;Marvel;United States of America;Live Action;46;81;No
Cars;2006;461630558;Pixar;United States of America;Animation;74;80;No
National Treasure: Book of Secrets;2007;457325804;Disney;Colombia;Live Action;35;67;No
Tarzan;1999;448191819;Disney;United States of America;Animation;90;75;Yes
Beauty and the Beast;1991;438656843;Disney;France;Animation;95;93;Yes
Shang-Chi and the Legend of the Ten Rings;2021;432224634;Marvel;China;Live Action;92;98;No
The Chronicles of Narnia: Prince Caspian;2008;417341288;Disney;Null;Live Action;66;73;No
Eternals;2021;401731759;Marvel;Iraq;Live Action;47;77;No
Tron: Legacy;2010;399866199;Disney;Null;Live Action;51;64;No
Solo: A Star Wars Story;2018;393151347;LucasFilm;Null;Live Action;69;63;No
Indiana Jones and the Dial of Destiny;2023;383963057;LucasFilm;Null;Live Action;70;87;No
Cars 3;2017;383541369;Pixar;United States of America;Animation;69;68;No
Black Widow;2021;379751131;Marvel;Russia;Live Action;79;91;No
Captain America: The First Avenger;2011;370569774;Marvel;United States of America;Live Action;80;75;No
Toy Story;1995;365270951;Pixar;United States of America;Animation;100;92;No
A Bug’s Life;1998;363095319;Pixar;Null;Animation;92;73;No
Dinosaur;2000;356148063;Disney;Null;Animation;65;48;Yes
Dumbo;1941;353284621;Disney;United Kingdom;Animation;95;70;Yes
Dumbo;2019;353166307;Disney;United States of America;Live Action;46;47;No
Who Framed Roger Rabbit?;1988;351500000;Disney;United States of America;Live Action;96;85;No
Pocahontas;1995;347100000;Disney;United States of America;Animation;58;64;Yes
Mary Poppins Returns;2018;345606500;Disney;United Kingdom;Live Action;79;65;No
Enchanted;2007;340384141;Disney;United States of America;Live Action;93;80;No
Prince of Persia: Sands of Time;2010;336359676;Disney;Iran;Live Action;37;58;No
The Good Dinosaur;2015;333771037;Pixar;Null;Animation;76;64;No
National Treasure;2004;331323410;Disney;Null;Live Action;46;76;No
Bolt;2008;328015029;Disney;United States of America;Animation;90;74;Yes
The Hunchback of Notre Dame;1996;325500000;Disney;France;Animation;80;71;Yes
Disney’s A Christmas Carol;2009;315709697;Disney;United Kingdom;Animation;52;58;No
Chicken Little;2005;310043823;Disney;United States of America;Animation;37;47;Yes
101 Dalmatians;1996;304200000;Disney;United Kingdom;Live Action;39;40;No
Mulan;1998;303500000;Disney;China;Animation;92;85;Yes
G-Force;2009;292817841;Disney;United States of America;Live Action;21;40;No
John Carter;2012;282778100;Disney;Null;Live Action;52;60;No
Alice Through the Looking Glass;2016;276928112;Disney;United Kingdom;Live Action;29;48;No
High School Musical 3: Senior Year;2008;274392880;Disney;United States of America;Live Action;64;72;No
The Princess and the Frog;2009;270997378;Disney;United States of America;Animation;85;74;Yes
The Incredible Hulk;2008;264770996;Marvel;United States of America;Live Action;68;69;No
Cinderella;1950;263591415;Disney;Null;Animation;97;80;Yes
The Lone Ranger;2013;260002115;Disney;United States of America;Live Action;31;51;No
Hercules;1997;250700000;Disney;Greece;Animation;83;76;Yes
Brother Bear;2003;250397798;Disney;United States of America;Animation;37;66;Yes
Lilo & Stitch;2002;245799997;Disney;United States of America;Animation;87;78;Yes
Wish;2023;240073909;Disney;Null;Animation;48;80;Yes
Disney Planes;2013;238059569;Disney;United States of America;Animation;26;49;No
Encanto;2021;231181871;Disney;Colombia;Animation;92;93;Yes
Cruella;2021;225810063;Disney;United Kingdom;Live Action;75;97;No
Honey, I Shrunk the Kids;1989;222700000;Disney;United States of America;Live Action;76;54;No
The Little Mermaid;1989;222267614;Disney;Null;Animation;92;88;Yes
Bedtime Stories;2008;221468935;Disney;United States of America;Live Action;27;55;No
Lightyear;2022;218878024;Pixar;United States of America;Animation;74;84;No
The Sorcerer's Apprentice;2010;217986320;Disney;United States of America;Live Action;40;53;No
Into the Woods;2014;212416317;Disney;Null;Live Action;70;49;No
Jungle Cruise;2021;210469803;Disney;Null;Live Action;62;92;No
The Marvels;2023;199706250;Marvel;United States of America;Live Action;62;80;No
The BFG;2016;199646680;Disney;United Kingdom;Live Action;74;57;No
The Pacifier;2005;198006880;Disney;United States of America;Live Action;21;58;No
Christopher Robin;2018;197744377;Disney;United Kingdom;Live Action;73;83;No
The Aristocats;1970;191000000;Disney;France;Animation;64;70;Yes
The Santa Clause;1994;190506000;Disney;United States of America;Live Action;73;66;No
The Return of Jafar;1994;190000000;Disney;India;Animation;33;40;No
Aladdin and the King of Thieves;1996;190000000;Disney;India;Animation;33;50;No
Snow White and the Seven Dwarfs;1937;187171725;Disney;Null;Animation;97;78;Yes
Atlantis: The Lost Empire;2001;186049020;Disney;Null;Animation;48;55;Yes
Flubber;1997;177993801;Disney;United States of America;Live Action;24;33;No
George Of The Jungle;1997;174463257;Disney;United States of America;Live Action;55;42;No
The Santa Clause 2;2002;172844592;Disney;United States of America;Live Action;55;43;No
Meet the Robinsons;2007;170552719;Disney;United States of America;Animation;68;74;Yes
The Nutcracker and the Four Realms;2018;170024300;Disney;Null;Live Action;32;35;No
The Emperor's New Groove;2000;169630573;Disney;Peru;Animation;86;84;Yes
